Name,Size,Avg,Median,Min,Max
json parse,2.5478515625,0.018469960987567903,0.014250010251998901,0.013833999633789062,0.28304198384284973
json stringify,2.5478515625,0.011832499504089355,0.008540987968444824,0.008166998624801636,0.2644999921321869
json parse + stringify,2.5478515625,0.030225431323051454,0.02324998378753662,0.021499991416931152,0.3406669795513153
structuredClone,2.5478515625,0.050461230278015134,0.02683398127555847,0.02504098415374756,1.626041978597641
fastest-json-copy,2.5478515625,0.02770538866519928,0.019666016101837158,0.018208980560302734,0.32725000381469727
fast-json-copy,2.5478515625,0.04585956007242203,0.03520900011062622,0.03266599774360657,0.45308300852775574
lodash clone deep,2.5478515625,0.08801126062870025,0.068666011095047,0.04433399438858032,0.6140829920768738
